feature,subject,day2_accuracy,day3_accuracy,delta,day2_source,day2_column,day3_source,day3_column
Envelope,sub-01,35.63096500530223,24.778761061946906,10.852203943355324,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-02,42.09968186638388,52.21238938053098,-10.112707514147097,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-03,31.60127253446447,45.13274336283185,-13.531470828367382,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-04,29.16224814422057,30.973451327433622,-1.8112031832130526,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-05,43.47826086956522,51.32743362831859,-7.849172758753369,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-06,49.840933191940614,38.05309734513274,11.787835846807873,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-07,35.2067868504772,47.78761061946903,-12.580823768991827,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-08,30.010604453870627,39.823008849557525,-9.812404395686897,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-09,47.720042417815485,31.858407079646017,15.861635338169467,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-10,37.96394485683987,53.98230088495575,-16.018356028115875,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-11,49.52279957582185,30.08849557522124,19.43430400060061,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-12,37.96394485683987,35.39823008849557,2.5657147683443,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-13,46.447507953340406,29.20353982300885,17.243968130331556,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-14,24.920466595970307,34.51327433628318,-9.592807740312875,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-15,30.646871686108167,34.51327433628318,-3.866402650175015,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-16,34.994697773064686,43.36283185840708,-8.36813408534239,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-17,21.527041357370095,28.31858407079646,-6.791542713426367,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-18,29.48038176033934,37.16814159292036,-7.6877598325810155,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-19,41.675503711558854,52.21238938053098,-10.536885668972126,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-20,27.465535524920465,35.39823008849557,-7.932694563575108,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-21,33.19194061505832,39.823008849557525,-6.631068234499203,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-22,50.79533404029692,32.743362831858406,18.051971208438516,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-23,37.433722163308595,24.778761061946906,12.654961101361689,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-24,36.58536585365854,45.13274336283185,-8.547377509173316,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Envelope,sub-25,36.47932131495228,26.548672566371685,9.930648748580595,module_A_intra_domain/envelope/neurascan.csv,r1.0,module_B_sda/envelope/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-01,36.90349946977731,20.35398230088496,16.549517168892347,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-02,45.59915164369035,54.86725663716814,-9.268104993477792,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-03,32.97985153764581,44.24778761061947,-11.267936072973662,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-04,31.495227995758217,33.6283185840708,-2.13309058831258,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-05,48.67444326617179,52.21238938053098,-3.537946114359187,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-06,56.30965005302227,41.5929203539823,14.716729699039966,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
