feature,shift,ratio,comparison,n,mean_diff,ci_low,ci_high,t,p,cohen_dz,p_holm
Envelope,cross-day,0.2,S2-S3,25,5.371199999999999,3.1416092944544087,7.60079070554559,4.9720390054746515,4.462166434508411e-05,0.9944078010949304,0.0002960161096003172
Envelope,cross-day,1.0,S2-S3,25,1.353800000000002,0.07853178122330795,2.6290682187766956,2.1909946720167435,0.038398501766960386,0.4381989344033486,0.15359400706784154
Envelope,day-plus-device,0.2,S2-S3,25,5.558000000000001,3.092386004332398,8.023613995667603,4.652450961782667,0.0001004921965230293,0.9304901923565333,0.0005024609826151465
Envelope,day-plus-device,1.0,S2-S3,25,0.8491999999999993,-1.7587433222606044,3.457143322260603,0.6720478330852989,0.5079718059935969,0.13440956661705977,1.0
Mel-10,cross-day,0.2,S2-S3,25,9.1636,7.194183756808772,11.133016243191229,9.60322172863186,1.0773777908111316e-09,1.920644345726372,1.2928533489733578e-08
Mel-10,cross-day,1.0,S2-S3,25,5.034,3.841287294922556,6.226712705077444,8.710953874311961,6.770157344436067e-09,1.742190774862392,7.447173078879674e-08
Mel-10,day-plus-device,0.2,S2-S3,25,8.7084,5.492862228983483,11.923937771016515,5.589501823329425,9.424757761876323e-06,1.1179003646658854,8.482281985688691e-05
Mel-10,day-plus-device,1.0,S2-S3,25,2.9023999999999996,-0.2553403561623244,6.060140356162323,1.8970081481142642,0.06992405182473385,0.37940162962285284,0.20977215547420155
wav2vec 2.0,cross-day,0.2,S2-S3,25,9.5716,6.634807131803072,12.508392868196928,6.726661483827227,5.873369431538158e-07,1.3453322967654455,5.873369431538158e-06
wav2vec 2.0,cross-day,1.0,S2-S3,25,3.766600000000001,2.280859202051098,5.252340797948904,5.232326077980841,2.3101435436149914e-05,1.046465215596168,0.0001848114834891993
wav2vec 2.0,day-plus-device,0.2,S2-S3,25,6.7964,3.987179840094676,9.605620159905325,4.993229218717204,4.2288015657188164e-05,0.9986458437434408,0.0002960161096003172
wav2vec 2.0,day-plus-device,1.0,S2-S3,25,0.5308000000000008,-1.6930555430477867,2.7546555430477886,0.4926207369615169,0.6267572941482591,0.09852414739230338,1.0
