feature,shift,strategy,ratio,n,mean,sem
envelope,cross-day,1,1.0,25,35.805458466572475,1.3557395650037098
envelope,cross-day,2,0.2,25,46.62274113185097,2.080436901327833
envelope,cross-day,2,0.4,25,48.25938871123671,1.8079364153647823
envelope,cross-day,2,0.6,25,51.03681118465085,1.689139248739957
envelope,cross-day,2,0.8,25,51.09689893656578,1.5717543895024781
envelope,cross-day,2,1.0,25,54.66156019930095,1.7249185031507512
envelope,cross-day,3,0.2,25,41.25202647430653,1.6956986537746548
envelope,cross-day,3,0.4,25,44.450509407302754,1.9715896737014862
envelope,cross-day,3,0.6,25,48.37867182271138,1.9697505408863045
envelope,cross-day,3,0.8,25,50.29612552985795,1.9152926513996338
envelope,cross-day,3,1.0,25,53.307800996504795,1.6591045925588428
envelope,cross-day,4,0.2,25,38.55551424109466,1.701478347618636
envelope,cross-day,4,0.4,25,41.06462407972038,1.7094561636175254
envelope,cross-day,4,0.6,25,42.857886517438835,1.6651078107094057
envelope,cross-day,4,0.8,25,43.116234104261174,1.7135695814422292
envelope,cross-day,4,1.0,25,42.62363352420614,1.4379286237989997
envelope,cross-day,5,1.0,25,53.389306164943854,1.6192932589533586
envelope,day-plus-device,1,1.0,25,37.80530973451327,1.7966418089734024
envelope,day-plus-device,2,0.2,25,47.716814159292035,3.0079471143616137
envelope,day-plus-device,2,0.4,25,48.88495575221239,2.7784792146110306
envelope,day-plus-device,2,0.6,25,52.17699115044248,3.336913002061066
envelope,day-plus-device,2,0.8,25,51.57522123893805,3.104719413673002
envelope,day-plus-device,2,1.0,25,53.486725663716804,3.3033396173353298
envelope,day-plus-device,3,0.2,25,42.15929203539823,2.8137696619012234
envelope,day-plus-device,3,0.4,25,46.902654867256636,2.989701347332136
envelope,day-plus-device,3,0.6,25,50.26548672566372,3.127539300366777
envelope,day-plus-device,3,0.8,25,51.1858407079646,3.1877575354447876
envelope,day-plus-device,3,1.0,25,52.63716814159293,3.269197913522686
envelope,day-plus-device,4,0.2,25,40.24778761061947,2.534704430753822
envelope,day-plus-device,4,0.4,25,42.40707964601769,2.4229694173149037
envelope,day-plus-device,4,0.6,25,43.85840707964602,2.2077118694805162
envelope,day-plus-device,4,0.8,25,44.67256637168141,2.4620862267570014
envelope,day-plus-device,4,1.0,25,44.24778761061946,2.400824772787705
envelope,day-plus-device,5,1.0,25,51.75221238938053,2.8848833622855916
mel_10,cross-day,1,1.0,25,38.861456086859526,1.4883102604581127
mel_10,cross-day,2,0.2,25,50.181899308395934,2.0532979805769633
mel_10,cross-day,2,0.4,25,52.61143749535212,2.094034678543402
mel_10,cross-day,2,0.6,25,56.02662303859597,2.065364465709229
mel_10,cross-day,2,0.8,25,57.14032869785082,2.0167255056898186
mel_10,cross-day,2,1.0,25,61.62073324905184,1.8217143131154572
mel_10,cross-day,3,0.2,25,41.0191120696066,1.7723615925376186
mel_10,cross-day,3,0.4,25,44.60355469621476,1.9714248100258527
mel_10,cross-day,3,0.6,25,49.2756748717186,2.404485003048808
mel_10,cross-day,3,0.8,25,52.4264148137131,2.225369432096298
mel_10,cross-day,3,1.0,25,56.586301777348105,1.9006065397272702
mel_10,cross-day,4,0.2,25,38.619915222726256,1.6757473537073952
mel_10,cross-day,4,0.4,25,42.02201234476092,1.6189741409709366
mel_10,cross-day,4,0.6,25,44.306239309883246,1.801661732413957
mel_10,cross-day,4,0.8,25,45.964304305793114,1.8364034626989845
mel_10,cross-day,4,1.0,25,46.33375474083439,1.8918669209703878
mel_10,cross-day,5,1.0,25,59.93069086041497,1.7905073529390894
mel_10,day-plus-device,1,1.0,25,40.495575221238944,2.150327151331736
mel_10,day-plus-device,2,0.2,25,51.858407079646014,3.328892544036111
mel_10,day-plus-device,2,0.4,25,55.1858407079646,3.023511042685875
mel_10,day-plus-device,2,0.6,25,58.05309734513275,3.3017270984385183
mel_10,day-plus-device,2,0.8,25,58.01769911504425,3.2326453693943273
mel_10,day-plus-device,2,1.0,25,59.43362831858407,3.0547770164790755
mel_10,day-plus-device,3,0.2,25,43.150442477876105,2.842109028772981
mel_10,day-plus-device,3,0.4,25,48.70796460176991,3.067909007761124
mel_10,day-plus-device,3,0.6,25,51.00884955752212,3.351510207332131
