feature,shift,ratio,comparison,n,mean_diff,ci_low,ci_high,t,p,cohen_dz,p_holm
Envelope,cross-day,0.2,S2-S3,25,5.370714657544436,3.140906517580887,7.600522797507986,4.971104938562871,4.472746344752622e-05,0.9942209877125743,0.00029604352160505343
Envelope,cross-day,1.0,S2-S3,25,1.3537592027961614,0.07819853391723686,2.6293198716750856,2.190426327504537,0.038444465153932114,0.43808526550090743,0.15377786061572846
Envelope,day-plus-device,0.2,S2-S3,25,5.557522123893802,3.0923212820515773,8.022722965736028,4.6528306022923305,0.00010039519698372168,0.9305661204584663,0.0005019759849186085
Envelope,day-plus-device,1.0,S2-S3,25,0.8495575221238926,-1.7580390772011798,3.4571541214489647,0.6724201697400597,0.5077389505134304,0.13448403394801195,1.0
Mel-10,cross-day,0.2,S2-S3,25,9.162787238789319,7.193637702375527,11.13193677520311,9.60367054555015,1.0764098968515971e-09,1.9207341091100298,1.2916918762219165e-08
Mel-10,cross-day,1.0,S2-S3,25,5.034431471703726,3.8418969278525017,6.226966015554951,8.713002006221501,6.740853408793024e-09,1.7426004012443,7.414938749672327e-08
Mel-10,day-plus-device,0.2,S2-S3,25,8.70796460176991,5.492705164500761,11.92322403903906,5.589706201613793,9.41994980109037e-06,1.1179412403227587,8.477954820981333e-05
Mel-10,day-plus-device,1.0,S2-S3,25,2.902654867256635,-0.2547426909170851,6.060052425430355,1.8973807051712204,0.06987276382473318,0.3794761410342441,0.20961829147419953
wav2vec 2.0,cross-day,0.2,S2-S3,25,9.571056741280586,6.634320514135569,12.507792968425603,6.726409426560231,5.876889909944519e-07,1.3452818853120463,5.876889909944519e-06
wav2vec 2.0,cross-day,1.0,S2-S3,25,3.765747006767307,2.279997065319496,5.251496948215118,5.231108959794684,2.3172463437528202e-05,1.0462217919589367,0.00018537970750022562
wav2vec 2.0,day-plus-device,0.2,S2-S3,25,6.796460176991152,3.9871945881864805,9.605725765795825,4.993192683295804,4.229193165786477e-05,0.9986385366591608,0.00029604352160505343
wav2vec 2.0,day-plus-device,1.0,S2-S3,25,0.5309734513274343,-1.69351053161916,2.755457434274029,0.49264249635357676,0.6267421429995415,0.09852849927071536,1.0
