subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,24.78,22.12,24.78,21.24,18.58
sub-02,53.98,55.75,64.60,58.41,65.49
sub-03,39.82,46.90,51.33,51.33,56.64
sub-04,33.63,34.51,38.94,40.71,46.90
sub-05,31.86,41.59,55.75,61.06,61.95
sub-06,50.44,56.64,58.41,65.49,69.91
sub-07,37.17,42.48,52.21,54.87,56.64
sub-08,49.56,48.67,47.79,51.33,47.79
sub-09,69.03,73.45,76.11,74.34,76.11
sub-10,64.60,69.03,69.03,65.49,72.57
sub-11,20.35,17.70,18.58,21.24,15.93
sub-12,48.67,54.87,60.18,56.64,59.29
sub-13,37.17,38.05,44.25,41.59,39.82
sub-14,42.48,40.71,46.02,58.41,56.64
sub-15,44.25,50.44,54.87,58.41,55.75
sub-16,41.59,45.13,49.56,48.67,50.44
sub-17,27.43,26.55,28.32,23.89,26.55
sub-18,38.05,45.13,49.56,46.90,49.56
sub-19,70.80,72.57,71.68,72.57,75.22
sub-20,54.87,52.21,56.64,56.64,60.18
sub-21,47.79,47.79,59.29,62.83,64.60
sub-22,53.10,55.75,56.64,60.18,57.52
sub-23,57.52,65.49,68.14,65.49,73.45
sub-24,58.41,55.75,61.06,61.06,64.60
sub-25,21.24,27.43,22.12,23.89,30.09
