subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,37.17,45.13,47.79,50.44,58.41
sub-02,44.25,46.02,48.67,51.33,61.95
sub-03,34.51,41.59,39.82,48.67,46.02
sub-04,29.20,38.05,33.63,40.71,41.59
sub-05,44.25,47.79,50.44,54.87,61.95
sub-06,46.90,49.56,65.49,58.41,61.06
sub-07,31.86,40.71,42.48,50.44,50.44
sub-08,36.28,48.67,47.79,48.67,47.79
sub-09,61.06,60.18,60.18,61.06,61.06
sub-10,35.40,46.90,49.56,53.98,53.98
sub-11,43.36,55.75,49.56,56.64,54.87
sub-12,46.90,50.44,51.33,58.41,54.87
sub-13,54.87,62.83,56.64,61.06,63.72
sub-14,27.43,25.66,23.01,17.70,42.48
sub-15,40.71,38.05,40.71,42.48,54.87
sub-16,45.13,49.56,61.06,53.10,61.95
sub-17,29.20,32.74,30.97,38.05,37.17
sub-18,36.28,30.97,46.02,46.90,57.52
sub-19,59.29,76.99,67.26,67.26,69.91
sub-20,46.90,47.79,45.13,45.13,50.44
sub-21,31.86,34.51,30.09,34.51,39.82
sub-22,46.02,51.33,56.64,56.64,66.37
sub-23,45.13,62.83,61.95,60.18,69.03
sub-24,46.02,53.98,53.10,59.29,54.87
sub-25,47.79,54.87,48.67,61.06,61.06
