subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,34.04,37.43,35.21,35.42,35.63
sub-02,37.22,40.93,39.34,43.90,42.10
sub-03,26.19,28.00,28.84,31.71,31.60
sub-04,28.31,31.07,30.75,25.66,29.16
sub-05,42.84,45.28,42.84,42.63,43.48
sub-06,44.33,45.60,48.25,50.90,49.84
sub-07,22.80,27.89,30.22,36.06,35.21
sub-08,33.09,40.62,31.50,32.34,30.01
sub-09,40.40,46.55,47.83,47.83,47.72
sub-10,34.36,36.06,37.01,40.40,37.96
sub-11,46.24,47.93,49.42,50.05,49.52
sub-12,36.16,40.30,40.93,41.78,37.96
sub-13,42.63,41.78,41.99,47.83,46.45
sub-14,25.45,27.15,26.09,26.83,24.92
sub-15,25.03,29.90,27.25,27.57,30.65
sub-16,36.69,37.96,31.28,30.43,34.99
sub-17,20.68,21.95,21.42,22.27,21.53
sub-18,25.34,27.25,27.78,27.04,29.48
sub-19,51.11,44.96,39.45,41.68,41.68
sub-20,31.39,35.74,30.22,30.22,27.47
sub-21,28.21,31.18,30.43,31.50,33.19
sub-22,46.55,51.33,43.90,46.98,50.80
sub-23,33.40,37.43,37.12,34.89,37.43
sub-24,31.71,33.30,33.30,34.04,36.59
sub-25,32.66,37.75,38.60,38.81,36.48
