subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,17.70,23.01,22.12,23.89,20.35
sub-02,48.67,58.41,60.18,67.26,65.49
sub-03,42.48,50.44,55.75,45.13,59.29
sub-04,31.86,26.55,34.51,39.82,41.59
sub-05,37.17,43.36,49.56,54.87,60.18
sub-06,50.44,61.95,66.37,70.80,72.57
sub-07,38.94,49.56,56.64,56.64,57.52
sub-08,46.02,49.56,52.21,54.87,51.33
sub-09,65.49,73.45,80.53,76.11,81.42
sub-10,61.06,69.91,73.45,74.34,79.65
sub-11,20.35,20.35,26.55,23.89,16.81
sub-12,46.90,53.10,62.83,58.41,62.83
sub-13,36.28,36.28,46.90,44.25,40.71
sub-14,45.13,46.02,47.79,50.44,61.06
sub-15,42.48,49.56,55.75,61.06,64.60
sub-16,40.71,46.90,50.44,56.64,54.87
sub-17,22.12,30.97,28.32,27.43,28.32
sub-18,42.48,49.56,38.94,53.10,57.52
sub-19,69.03,73.45,74.34,80.53,83.19
sub-20,55.75,49.56,57.52,57.52,61.95
sub-21,50.44,51.33,62.83,66.37,70.80
sub-22,52.21,61.06,59.29,61.95,64.60
sub-23,50.44,61.95,67.26,70.80,76.99
sub-24,59.29,64.60,63.72,72.57,69.91
sub-25,23.01,30.09,23.01,29.20,30.09
