subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,36.28,38.94,48.67,54.87,52.21
sub-02,45.13,46.90,48.67,55.75,66.37
sub-03,32.74,39.82,41.59,52.21,50.44
sub-04,25.66,38.05,37.17,33.63,34.51
sub-05,42.48,58.41,54.87,65.49,62.83
sub-06,43.36,45.13,65.49,61.95,66.37
sub-07,38.05,37.17,38.05,45.13,53.98
sub-08,34.51,43.36,47.79,49.56,53.10
sub-09,56.64,61.06,61.06,61.06,61.95
sub-10,41.59,49.56,44.25,56.64,61.95
sub-11,42.48,55.75,50.44,58.41,60.18
sub-12,43.36,47.79,51.33,55.75,57.52
sub-13,50.44,61.95,61.95,66.37,69.91
sub-14,25.66,22.12,22.12,17.70,36.28
sub-15,37.17,39.82,39.82,38.94,37.17
sub-16,44.25,46.02,58.41,56.64,67.26
sub-17,26.55,31.86,33.63,24.78,30.09
sub-18,30.09,41.59,43.36,42.48,58.41
sub-19,58.41,76.99,70.80,74.34,70.80
sub-20,47.79,47.79,52.21,57.52,58.41
sub-21,24.78,35.40,32.74,37.17,38.05
sub-22,46.90,52.21,58.41,64.60,72.57
sub-23,43.36,55.75,61.95,62.83,66.37
sub-24,42.48,46.90,53.10,59.29,61.95
sub-25,51.33,52.21,58.41,60.18,61.06
