subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,34.68,34.46,33.72,35.63,36.90
sub-02,34.89,37.86,38.71,44.75,45.60
sub-03,24.81,26.30,29.69,32.66,32.98
sub-04,29.69,29.37,30.97,32.13,31.50
sub-05,38.07,41.15,39.13,42.95,48.67
sub-06,41.25,41.57,47.61,53.23,56.31
sub-07,28.84,28.84,33.62,36.90,39.77
sub-08,31.50,35.84,32.87,30.43,31.92
sub-09,44.01,47.08,47.61,51.75,53.02
sub-10,34.68,38.39,39.55,42.63,42.84
sub-11,44.01,43.48,53.87,52.81,51.01
sub-12,39.77,39.24,43.69,42.10,41.78
sub-13,43.05,45.92,46.98,51.75,53.23
sub-14,25.87,29.80,29.59,30.54,32.13
sub-15,26.51,30.97,26.94,26.62,30.54
sub-16,35.10,35.63,30.01,33.30,36.69
sub-17,22.38,21.74,21.53,24.07,24.39
sub-18,27.36,27.25,28.10,30.22,31.60
sub-19,45.17,48.04,50.16,45.07,47.61
sub-20,31.81,35.63,31.71,27.89,27.25
sub-21,28.63,31.60,32.77,35.95,38.39
sub-22,44.75,49.95,50.58,53.98,57.05
sub-23,38.07,40.08,40.51,37.01,41.04
sub-24,33.19,33.30,35.63,36.69,36.59
sub-25,29.69,37.01,38.71,36.37,36.48
