subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,30.09,21.24,19.47,16.81,15.93
sub-02,44.25,57.52,61.06,67.26,63.72
sub-03,33.63,30.97,42.48,43.36,42.48
sub-04,38.05,42.48,50.44,53.10,58.41
sub-05,25.66,28.32,35.40,35.40,54.87
sub-06,50.44,54.87,67.26,76.99,74.34
sub-07,44.25,37.17,44.25,43.36,46.02
sub-08,49.56,64.60,66.37,76.99,73.45
sub-09,71.68,73.45,73.45,79.65,78.76
sub-10,57.52,69.03,71.68,73.45,80.53
sub-11,19.47,15.04,21.24,18.58,15.93
sub-12,47.79,53.10,56.64,62.83,64.60
sub-13,41.59,46.90,54.87,51.33,52.21
sub-14,30.97,51.33,41.59,49.56,64.60
sub-15,45.13,54.87,48.67,52.21,62.83
sub-16,30.09,37.17,40.71,53.98,56.64
sub-17,25.66,29.20,38.05,44.25,45.13
sub-18,31.86,41.59,58.41,54.87,65.49
sub-19,69.03,84.96,82.30,80.53,89.38
sub-20,39.82,46.90,61.06,61.06,62.83
sub-21,44.25,46.90,46.90,58.41,62.83
sub-22,58.41,55.75,67.26,67.26,69.03
sub-23,34.51,46.02,44.25,59.29,57.52
sub-24,55.75,66.37,69.03,76.11,73.45
sub-25,18.58,30.97,23.01,24.78,29.20
