subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,29.20,41.59,30.97,38.05,45.13
sub-02,38.94,43.36,45.13,49.56,47.79
sub-03,26.55,28.32,34.51,39.82,33.63
sub-04,35.40,39.82,36.28,39.82,38.94
sub-05,51.33,51.33,44.25,54.87,62.83
sub-06,39.82,54.87,59.29,62.83,64.60
sub-07,35.40,40.71,35.40,41.59,42.48
sub-08,44.25,52.21,61.06,65.49,72.57
sub-09,63.72,69.91,69.91,73.45,71.68
sub-10,32.74,31.86,32.74,46.02,52.21
sub-11,53.10,53.10,48.67,61.06,57.52
sub-12,34.51,46.90,46.02,40.71,51.33
sub-13,33.63,57.52,54.87,53.98,58.41
sub-14,24.78,24.78,35.40,39.82,33.63
sub-15,32.74,30.09,40.71,43.36,34.51
sub-16,38.94,42.48,45.13,58.41,58.41
sub-17,26.55,26.55,29.20,28.32,38.05
sub-18,23.01,32.74,41.59,55.75,60.18
sub-19,60.18,72.57,69.91,77.88,76.99
sub-20,23.01,29.20,39.82,49.56,51.33
sub-21,24.78,29.20,33.63,36.28,38.05
sub-22,46.02,46.90,53.10,61.95,65.49
sub-23,39.82,54.87,61.06,53.98,59.29
sub-24,37.17,53.10,53.10,47.79,48.67
sub-25,45.13,50.44,56.64,61.95,61.95
