subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,26.62,31.81,35.63,35.84,35.95
sub-02,42.10,47.08,48.99,52.07,56.31
sub-03,24.28,28.10,26.09,32.03,30.97
sub-04,36.37,37.54,39.34,38.92,40.30
sub-05,35.10,35.52,39.55,41.46,46.02
sub-06,43.58,49.84,54.19,59.07,60.76
sub-07,28.74,33.09,31.39,35.84,38.49
sub-08,46.77,54.61,44.01,40.30,40.72
sub-09,52.70,53.23,52.60,54.51,57.79
sub-10,35.74,42.42,43.80,46.13,46.24
sub-11,49.31,53.87,55.25,54.51,57.79
sub-12,44.54,46.77,50.27,52.49,53.13
sub-13,45.81,48.99,50.37,48.14,54.29
sub-14,28.21,35.31,40.83,42.10,41.25
sub-15,34.46,37.96,37.12,39.77,40.62
sub-16,36.48,38.18,44.64,52.07,54.93
sub-17,26.62,26.94,30.12,35.31,35.31
sub-18,28.42,32.24,39.34,42.31,39.98
sub-19,40.62,54.83,56.10,56.42,57.16
sub-20,35.21,33.72,40.40,46.02,45.49
sub-21,29.06,33.19,36.80,40.08,37.54
sub-22,40.19,50.90,57.37,62.99,63.73
sub-23,40.51,45.28,43.16,41.04,43.48
sub-24,34.57,39.45,40.93,43.16,41.99
sub-25,35.31,41.99,39.87,38.07,36.90
