subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,39.82,39.82,39.82,39.82,39.82,48.67,46.02,54.87,55.75,61.06,39.82,43.36,46.02,48.67,53.98,42.48,42.48,53.10,46.02,49.56,47.79
sub-02,43.36,43.36,43.36,43.36,43.36,49.56,49.56,49.56,56.64,49.56,43.36,41.59,49.56,50.44,53.98,45.13,54.87,55.75,53.10,58.41,58.41
sub-03,31.86,31.86,31.86,31.86,31.86,37.17,30.09,48.67,48.67,44.25,37.17,37.17,42.48,45.13,46.02,23.89,30.09,32.74,34.51,38.05,40.71
sub-04,26.55,26.55,26.55,26.55,26.55,38.94,39.82,41.59,44.25,46.02,27.43,30.97,40.71,42.48,39.82,35.40,42.48,37.17,35.40,41.59,39.82
sub-05,35.40,35.40,35.40,35.40,35.40,38.94,50.44,56.64,54.87,57.52,46.02,42.48,52.21,54.87,54.87,46.02,40.71,46.90,45.13,41.59,53.98
sub-06,36.28,36.28,36.28,36.28,36.28,58.41,58.41,58.41,59.29,64.60,38.94,45.13,52.21,55.75,59.29,46.02,51.33,56.64,55.75,57.52,61.95
sub-07,30.09,30.09,30.09,30.09,30.09,45.13,44.25,49.56,50.44,47.79,32.74,39.82,41.59,46.90,52.21,32.74,38.05,42.48,42.48,45.13,50.44
sub-08,36.28,36.28,36.28,36.28,36.28,46.02,53.10,47.79,43.36,53.98,37.17,44.25,44.25,47.79,48.67,33.63,36.28,42.48,37.17,42.48,55.75
sub-09,46.90,46.90,46.90,46.90,46.90,53.10,61.95,63.72,60.18,63.72,60.18,60.18,60.18,60.18,60.18,48.67,46.02,46.02,40.71,42.48,60.18
sub-10,41.59,41.59,41.59,41.59,41.59,49.56,48.67,61.06,56.64,63.72,38.94,51.33,53.10,55.75,58.41,41.59,45.13,49.56,46.90,42.48,53.10
sub-11,52.21,52.21,52.21,52.21,52.21,52.21,48.67,55.75,48.67,57.52,46.90,51.33,53.10,49.56,53.10,38.05,39.82,41.59,46.90,46.90,57.52
sub-12,43.36,43.36,43.36,43.36,43.36,53.98,54.87,53.10,47.79,61.06,43.36,49.56,52.21,54.87,58.41,43.36,43.36,40.71,41.59,44.25,59.29
sub-13,46.90,46.90,46.90,46.90,46.90,53.98,54.87,61.95,61.95,51.33,50.44,56.64,59.29,60.18,62.83,58.41,61.06,56.64,59.29,53.98,62.83
sub-14,21.24,21.24,21.24,21.24,21.24,18.58,26.55,30.09,26.55,43.36,28.32,32.74,25.66,22.12,42.48,23.89,25.66,24.78,23.01,25.66,42.48
sub-15,27.43,27.43,27.43,27.43,27.43,37.17,38.94,47.79,47.79,47.79,38.94,31.86,35.40,44.25,45.13,27.43,23.01,27.43,27.43,35.40,51.33
sub-16,30.97,30.97,30.97,30.97,30.97,53.10,49.56,52.21,57.52,57.52,49.56,47.79,55.75,61.95,63.72,47.79,52.21,50.44,52.21,52.21,63.72
sub-17,21.24,21.24,21.24,21.24,21.24,26.55,34.51,37.17,42.48,37.17,23.89,30.97,31.86,38.05,38.05,27.43,29.20,23.01,24.78,20.35,37.17
sub-18,37.17,37.17,37.17,37.17,37.17,53.10,51.33,56.64,51.33,57.52,33.63,34.51,42.48,45.13,49.56,35.40,36.28,38.05,39.82,39.82,61.95
sub-19,38.94,38.94,38.94,38.94,38.94,73.45,69.91,66.37,61.06,69.03,66.37,75.22,76.11,74.34,73.45,60.18,64.60,61.06,59.29,58.41,67.26
sub-20,30.09,30.09,30.09,30.09,30.09,50.44,46.90,48.67,47.79,51.33,41.59,47.79,42.48,43.36,47.79,50.44,49.56,45.13,52.21,53.98,52.21
sub-21,27.43,27.43,27.43,27.43,27.43,34.51,41.59,32.74,42.48,44.25,29.20,25.66,29.20,33.63,36.28,26.55,21.24,29.20,29.20,25.66,41.59
sub-22,46.02,46.02,46.02,46.02,46.02,56.64,53.98,57.52,62.83,69.91,46.90,51.33,55.75,58.41,64.60,46.02,46.02,46.90,54.87,47.79,61.06
sub-23,38.94,38.94,38.94,38.94,38.94,54.87,61.06,61.95,56.64,61.95,46.90,51.33,56.64,61.06,65.49,44.25,55.75,53.10,53.10,55.75,64.60
sub-24,35.40,35.40,35.40,35.40,35.40,57.52,46.02,52.21,51.33,61.06,44.25,50.44,52.21,53.98,54.87,35.40,38.94,37.17,38.05,33.63,52.21
sub-25,41.59,41.59,41.59,41.59,41.59,59.29,62.83,65.49,68.14,66.37,49.56,56.64,58.41,68.14,63.72,40.71,41.59,46.02,51.33,48.67,63.72
