subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,24.78,24.78,24.78,24.78,24.78,15.93,21.24,23.01,19.47,16.81,24.78,23.01,20.35,19.47,17.70,22.12,16.81,27.43,21.24,20.35,19.47
sub-02,52.21,52.21,52.21,52.21,52.21,57.52,57.52,61.95,62.83,60.18,53.98,59.29,61.06,61.95,62.83,49.56,49.56,58.41,59.29,57.52,58.41
sub-03,45.13,45.13,45.13,45.13,45.13,46.02,50.44,56.64,44.25,57.52,30.09,41.59,45.13,51.33,49.56,30.09,34.51,32.74,41.59,43.36,55.75
sub-04,30.97,30.97,30.97,30.97,30.97,38.94,46.90,44.25,47.79,50.44,31.86,33.63,37.17,43.36,41.59,32.74,42.48,34.51,42.48,47.79,44.25
sub-05,51.33,51.33,51.33,51.33,51.33,50.44,53.98,50.44,54.87,55.75,34.51,42.48,55.75,61.06,63.72,41.59,45.13,49.56,49.56,48.67,52.21
sub-06,38.05,38.05,38.05,38.05,38.05,48.67,40.71,61.95,53.98,67.26,47.79,54.87,56.64,61.95,63.72,47.79,51.33,56.64,56.64,57.52,58.41
sub-07,47.79,47.79,47.79,47.79,47.79,46.02,47.79,50.44,51.33,61.95,34.51,45.13,57.52,51.33,60.18,47.79,48.67,49.56,48.67,50.44,58.41
sub-08,39.82,39.82,39.82,39.82,39.82,48.67,50.44,53.98,48.67,50.44,51.33,49.56,50.44,46.02,46.02,35.40,44.25,44.25,47.79,40.71,50.44
sub-09,31.86,31.86,31.86,31.86,31.86,70.80,72.57,78.76,80.53,76.11,65.49,72.57,77.88,78.76,78.76,60.18,65.49,69.91,64.60,46.90,73.45
sub-10,53.98,53.98,53.98,53.98,53.98,62.83,55.75,65.49,65.49,70.80,61.95,64.60,68.14,64.60,67.26,61.95,57.52,53.98,63.72,62.83,58.41
sub-11,30.09,30.09,30.09,30.09,30.09,18.58,19.47,15.93,20.35,13.27,20.35,20.35,22.12,22.12,22.12,15.93,23.01,27.43,20.35,18.58,19.47
sub-12,35.40,35.40,35.40,35.40,35.40,59.29,52.21,58.41,53.98,54.87,46.02,48.67,53.10,53.10,46.90,51.33,53.10,48.67,47.79,44.25,61.95
sub-13,29.20,29.20,29.20,29.20,29.20,38.05,44.25,38.94,42.48,41.59,37.17,39.82,39.82,38.05,37.17,34.51,35.40,39.82,39.82,42.48,38.05
sub-14,34.51,34.51,34.51,34.51,34.51,53.10,54.87,53.98,59.29,55.75,46.90,45.13,49.56,58.41,61.95,41.59,39.82,39.82,34.51,33.63,58.41
sub-15,34.51,34.51,34.51,34.51,34.51,45.13,54.87,65.49,59.29,57.52,36.28,54.87,57.52,53.98,59.29,31.86,31.86,41.59,42.48,37.17,61.06
sub-16,43.36,43.36,43.36,43.36,43.36,46.02,48.67,45.13,48.67,39.82,36.28,43.36,48.67,52.21,51.33,42.48,48.67,46.02,48.67,46.02,50.44
sub-17,28.32,28.32,28.32,28.32,28.32,29.20,21.24,26.55,29.20,33.63,23.89,22.12,23.01,21.24,23.01,20.35,28.32,28.32,30.97,27.43,30.09
sub-18,37.17,37.17,37.17,37.17,37.17,45.13,44.25,50.44,47.79,48.67,34.51,40.71,53.98,47.79,57.52,43.36,33.63,31.86,35.40,38.94,49.56
sub-19,52.21,52.21,52.21,52.21,52.21,79.65,59.29,77.88,75.22,77.88,76.11,70.80,73.45,69.91,71.68,66.37,61.06,54.87,59.29,64.60,74.34
sub-20,35.40,35.40,35.40,35.40,35.40,61.95,64.60,54.87,55.75,60.18,49.56,59.29,53.98,56.64,57.52,41.59,44.25,46.90,46.02,46.02,54.87
sub-21,39.82,39.82,39.82,39.82,39.82,42.48,53.98,55.75,64.60,61.95,40.71,43.36,55.75,58.41,60.18,36.28,37.17,45.13,45.13,49.56,66.37
sub-22,32.74,32.74,32.74,32.74,32.74,47.79,60.18,64.60,61.06,62.83,46.90,53.10,52.21,53.10,53.10,36.28,38.05,39.82,43.36,49.56,56.64
sub-23,24.78,24.78,24.78,24.78,24.78,54.87,61.95,67.26,57.52,64.60,48.67,58.41,61.06,67.26,69.91,46.90,57.52,53.98,56.64,56.64,59.29
sub-24,45.13,45.13,45.13,45.13,45.13,61.06,59.29,62.83,61.95,67.26,53.98,64.60,61.95,65.49,64.60,44.25,46.02,46.90,48.67,48.67,53.98
sub-25,26.55,26.55,26.55,26.55,26.55,24.78,25.66,19.47,23.01,30.09,20.35,21.24,20.35,22.12,28.32,23.89,26.55,28.32,22.12,26.55,30.09
