subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,19.33,19.33,19.33,19.33,19.33,39.50,43.70,47.06,51.26,46.22,35.29,36.97,36.13,39.50,42.02,34.45,36.97,40.34,32.77,31.09,49.58
sub-02,31.93,31.93,31.93,31.93,31.93,54.62,52.94,60.50,59.66,61.34,47.06,50.42,55.46,56.30,55.46,29.41,39.50,42.02,52.10,51.26,65.55
sub-03,26.89,26.89,26.89,26.89,26.89,43.70,37.82,50.42,55.46,62.18,36.13,39.50,43.70,45.38,60.50,20.17,28.57,33.61,31.93,35.29,56.30
sub-04,37.82,37.82,37.82,37.82,37.82,44.54,46.22,43.70,47.06,58.82,34.45,32.77,40.34,47.90,57.14,33.61,34.45,35.29,43.70,52.94,55.46
sub-05,45.38,45.38,45.38,45.38,45.38,39.50,42.02,42.86,45.38,51.26,28.57,36.97,42.02,42.02,47.06,40.34,35.29,39.50,36.97,39.50,52.10
sub-06,46.22,46.22,46.22,46.22,46.22,63.03,67.23,73.11,69.75,73.11,58.82,57.14,58.82,64.71,68.91,38.66,42.02,42.02,39.50,45.38,68.07
sub-07,35.29,35.29,35.29,35.29,35.29,41.18,45.38,52.10,52.10,52.94,29.41,34.45,34.45,34.45,47.06,31.09,35.29,34.45,39.50,47.06,61.34
sub-08,47.06,47.06,47.06,47.06,47.06,47.06,51.26,52.10,52.10,60.50,36.97,36.13,51.26,47.90,58.82,36.97,43.70,45.38,46.22,51.26,63.87
sub-09,48.74,48.74,48.74,48.74,48.74,56.30,57.98,65.55,66.39,70.59,52.94,56.30,62.18,63.87,65.55,57.14,52.10,53.78,59.66,57.98,74.79
sub-10,51.26,51.26,51.26,51.26,51.26,69.75,76.47,77.31,79.83,77.31,61.34,70.59,78.15,79.83,83.19,51.26,62.18,65.55,70.59,69.75,75.63
sub-11,52.94,52.94,52.94,52.94,52.94,58.82,63.87,65.55,62.18,68.91,49.58,48.74,58.82,64.71,63.03,51.26,55.46,58.82,55.46,59.66,60.50
sub-12,39.50,39.50,39.50,39.50,39.50,49.58,57.98,58.82,61.34,61.34,46.22,43.70,52.94,57.14,52.94,47.90,44.54,58.82,56.30,57.98,62.18
sub-13,22.69,22.69,22.69,22.69,22.69,51.26,57.14,51.26,58.82,58.82,40.34,40.34,48.74,46.22,56.30,42.02,39.50,49.58,45.38,41.18,57.14
sub-14,44.54,44.54,44.54,44.54,44.54,42.86,47.06,54.62,55.46,62.18,30.25,36.97,41.18,43.70,51.26,35.29,38.66,46.22,37.82,44.54,59.66
sub-15,32.77,32.77,32.77,32.77,32.77,34.45,33.61,40.34,42.02,42.02,35.29,36.13,31.93,37.82,46.22,36.97,36.97,31.93,31.93,35.29,42.86
sub-16,29.41,29.41,29.41,29.41,29.41,53.78,52.10,53.78,59.66,63.03,42.86,43.70,56.30,50.42,55.46,39.50,39.50,36.13,39.50,41.18,54.62
sub-17,28.57,28.57,28.57,28.57,28.57,36.13,33.61,29.41,36.13,38.66,31.09,31.09,26.05,35.29,36.13,24.37,22.69,26.05,28.57,40.34,34.45
sub-18,26.89,26.89,26.89,26.89,26.89,52.10,50.42,60.50,65.55,64.71,36.13,36.13,50.42,56.30,67.23,22.69,31.93,28.57,36.13,31.09,70.59
sub-19,51.26,51.26,51.26,51.26,51.26,71.43,77.31,72.27,75.63,79.83,64.71,67.23,74.79,75.63,75.63,52.10,52.10,57.98,60.50,69.75,77.31
sub-20,34.45,34.45,34.45,34.45,34.45,37.82,43.70,53.78,49.58,62.18,33.61,40.34,44.54,49.58,52.94,28.57,31.09,37.82,40.34,41.18,61.34
sub-21,32.77,32.77,32.77,32.77,32.77,36.13,42.02,44.54,51.26,62.18,36.97,40.34,42.02,48.74,63.03,35.29,41.18,52.94,47.90,55.46,64.71
sub-22,31.93,31.93,31.93,31.93,31.93,68.07,72.27,70.59,68.07,77.31,57.14,54.62,57.14,61.34,66.39,38.66,39.50,42.02,55.46,53.78,78.99
sub-23,48.74,48.74,48.74,48.74,48.74,54.62,54.62,59.66,60.50,70.59,43.70,43.70,54.62,61.34,63.03,41.18,47.06,50.42,48.74,42.86,62.18
sub-24,56.30,56.30,56.30,56.30,56.30,55.46,54.62,56.30,58.82,66.39,40.34,45.38,52.10,49.58,55.46,45.38,39.50,47.06,52.94,52.94,63.87
sub-25,32.77,32.77,32.77,32.77,32.77,43.70,46.22,55.46,58.82,64.71,31.09,38.66,54.62,55.46,57.14,35.29,42.86,38.66,43.70,36.97,58.82
