subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,20.35,20.35,20.35,20.35,20.35,18.58,24.78,20.35,19.47,21.24,23.01,24.78,21.24,26.55,20.35,21.24,23.01,23.89,18.58,20.35,24.78
sub-02,54.87,54.87,54.87,54.87,54.87,60.18,63.72,66.37,63.72,69.91,47.79,58.41,61.95,64.60,65.49,53.10,52.21,58.41,63.72,66.37,69.03
sub-03,44.25,44.25,44.25,44.25,44.25,47.79,59.29,62.83,57.52,58.41,39.82,46.02,48.67,48.67,56.64,29.20,35.40,38.05,47.79,46.02,57.52
sub-04,33.63,33.63,33.63,33.63,33.63,35.40,49.56,53.10,46.90,54.87,27.43,33.63,33.63,36.28,40.71,30.97,37.17,42.48,39.82,41.59,52.21
sub-05,52.21,52.21,52.21,52.21,52.21,51.33,50.44,53.98,58.41,57.52,30.09,46.02,45.13,48.67,58.41,39.82,44.25,48.67,55.75,59.29,61.95
sub-06,41.59,41.59,41.59,41.59,41.59,58.41,63.72,73.45,72.57,69.91,53.10,61.06,63.72,64.60,71.68,49.56,51.33,56.64,61.95,59.29,74.34
sub-07,50.44,50.44,50.44,50.44,50.44,53.10,55.75,61.95,64.60,74.34,38.94,50.44,48.67,52.21,56.64,41.59,51.33,52.21,46.90,47.79,67.26
sub-08,39.82,39.82,39.82,39.82,39.82,56.64,53.10,56.64,56.64,58.41,50.44,47.79,52.21,53.98,53.10,42.48,45.13,44.25,52.21,41.59,48.67
sub-09,38.05,38.05,38.05,38.05,38.05,75.22,80.53,82.30,85.84,76.11,68.14,77.88,81.42,83.19,86.73,61.06,68.14,70.80,61.95,63.72,77.88
sub-10,65.49,65.49,65.49,65.49,65.49,72.57,76.99,74.34,73.45,78.76,56.64,68.14,71.68,73.45,74.34,61.95,60.18,62.83,66.37,70.80,69.91
sub-11,30.09,30.09,30.09,30.09,30.09,15.04,18.58,18.58,22.12,22.12,21.24,22.12,20.35,21.24,24.78,20.35,24.78,23.89,20.35,16.81,23.01
sub-12,38.94,38.94,38.94,38.94,38.94,67.26,62.83,64.60,64.60,65.49,52.21,53.10,54.87,55.75,61.06,53.10,59.29,58.41,57.52,53.10,61.95
sub-13,33.63,33.63,33.63,33.63,33.63,38.94,41.59,46.90,51.33,47.79,30.09,40.71,38.94,39.82,42.48,33.63,44.25,44.25,43.36,46.02,50.44
sub-14,47.79,47.79,47.79,47.79,47.79,46.90,54.87,57.52,57.52,58.41,46.90,46.02,51.33,50.44,60.18,43.36,46.90,40.71,42.48,44.25,55.75
sub-15,37.17,37.17,37.17,37.17,37.17,57.52,55.75,60.18,60.18,60.18,34.51,52.21,55.75,62.83,60.18,36.28,46.02,46.02,41.59,43.36,70.80
sub-16,46.02,46.02,46.02,46.02,46.02,48.67,46.90,50.44,48.67,46.02,39.82,43.36,53.10,50.44,53.10,45.13,46.02,46.02,44.25,49.56,51.33
sub-17,28.32,28.32,28.32,28.32,28.32,34.51,43.36,46.90,54.87,51.33,21.24,22.12,22.12,21.24,24.78,22.12,21.24,24.78,25.66,25.66,43.36
sub-18,33.63,33.63,33.63,33.63,33.63,46.90,53.98,59.29,47.79,61.06,40.71,46.02,49.56,53.98,61.95,36.28,35.40,33.63,31.86,37.17,48.67
sub-19,53.98,53.98,53.98,53.98,53.98,81.42,77.88,82.30,78.76,76.99,76.11,74.34,76.11,76.11,76.99,64.60,62.83,63.72,71.68,69.91,80.53
sub-20,32.74,32.74,32.74,32.74,32.74,60.18,61.06,54.87,60.18,64.60,50.44,55.75,59.29,61.95,66.37,47.79,39.82,45.13,49.56,42.48,61.95
sub-21,50.44,50.44,50.44,50.44,50.44,68.14,63.72,62.83,72.57,66.37,44.25,46.02,53.98,60.18,64.60,33.63,41.59,50.44,66.37,57.52,69.03
sub-22,38.05,38.05,38.05,38.05,38.05,55.75,65.49,67.26,69.03,66.37,45.13,57.52,56.64,58.41,61.06,41.59,45.13,46.90,46.90,51.33,67.26
sub-23,30.97,30.97,30.97,30.97,30.97,58.41,60.18,74.34,65.49,71.68,51.33,54.87,62.83,71.68,72.57,44.25,48.67,52.21,56.64,50.44,69.03
sub-24,46.90,46.90,46.90,46.90,46.90,61.06,64.60,70.80,69.03,70.80,60.18,66.37,68.14,69.03,69.91,56.64,50.44,52.21,56.64,55.75,67.26
sub-25,23.01,23.01,23.01,23.01,23.01,26.55,30.97,29.20,29.20,37.17,29.20,23.01,23.89,26.55,29.20,24.78,26.55,27.43,22.12,33.63,28.32
