subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,32.74,32.74,32.74,32.74,32.74,31.86,31.86,39.82,37.17,44.25,32.74,35.40,32.74,33.63,41.59,35.40,37.17,44.25,38.94,45.13,39.82
sub-02,48.67,48.67,48.67,48.67,48.67,53.10,50.44,53.10,54.87,53.98,38.94,44.25,41.59,46.02,51.33,47.79,53.98,47.79,49.56,50.44,60.18
sub-03,27.43,27.43,27.43,27.43,27.43,38.05,34.51,34.51,36.28,46.90,24.78,27.43,33.63,34.51,35.40,30.09,27.43,35.40,22.12,30.97,38.05
sub-04,50.44,50.44,50.44,50.44,50.44,41.59,37.17,38.94,36.28,41.59,33.63,35.40,30.97,38.05,46.90,42.48,40.71,44.25,46.90,44.25,46.02
sub-05,42.48,42.48,42.48,42.48,42.48,33.63,49.56,53.98,48.67,50.44,42.48,42.48,46.90,56.64,58.41,53.10,40.71,43.36,53.10,47.79,60.18
sub-06,41.59,41.59,41.59,41.59,41.59,41.59,53.10,59.29,61.95,65.49,35.40,49.56,57.52,58.41,63.72,49.56,51.33,46.90,52.21,53.98,67.26
sub-07,24.78,24.78,24.78,24.78,24.78,37.17,37.17,34.51,39.82,42.48,30.09,38.05,32.74,44.25,45.13,44.25,32.74,38.05,38.05,41.59,38.94
sub-08,48.67,48.67,48.67,48.67,48.67,58.41,61.95,67.26,76.99,70.80,41.59,56.64,62.83,66.37,64.60,55.75,53.10,50.44,56.64,51.33,69.03
sub-09,49.56,49.56,49.56,49.56,49.56,58.41,65.49,67.26,69.03,71.68,61.95,67.26,69.03,69.91,69.91,53.98,61.95,54.87,59.29,60.18,70.80
sub-10,41.59,41.59,41.59,41.59,41.59,46.90,49.56,50.44,59.29,58.41,34.51,30.09,39.82,45.13,52.21,38.94,45.13,45.13,46.90,52.21,57.52
sub-11,52.21,52.21,52.21,52.21,52.21,57.52,54.87,59.29,66.37,72.57,53.98,50.44,53.10,48.67,56.64,59.29,46.02,50.44,50.44,50.44,64.60
sub-12,46.02,46.02,46.02,46.02,46.02,46.90,38.05,61.06,57.52,58.41,37.17,45.13,42.48,50.44,53.98,42.48,46.90,42.48,49.56,52.21,62.83
sub-13,46.90,46.90,46.90,46.90,46.90,43.36,50.44,55.75,52.21,53.10,41.59,49.56,54.87,49.56,53.98,55.75,56.64,52.21,53.10,53.98,52.21
sub-14,39.82,39.82,39.82,39.82,39.82,35.40,39.82,47.79,33.63,38.94,35.40,26.55,36.28,31.86,33.63,36.28,40.71,45.13,41.59,48.67,53.98
sub-15,38.05,38.05,38.05,38.05,38.05,36.28,42.48,31.86,39.82,45.13,27.43,28.32,37.17,35.40,36.28,40.71,39.82,44.25,46.90,48.67,49.56
sub-16,54.87,54.87,54.87,54.87,54.87,53.98,57.52,61.95,53.10,70.80,34.51,32.74,41.59,53.10,59.29,56.64,61.06,60.18,69.03,61.06,69.91
sub-17,26.55,26.55,26.55,26.55,26.55,28.32,32.74,30.09,33.63,41.59,26.55,30.09,29.20,34.51,27.43,26.55,33.63,30.97,35.40,30.09,34.51
sub-18,38.05,38.05,38.05,38.05,38.05,53.98,61.06,64.60,63.72,69.03,23.89,32.74,40.71,53.10,56.64,37.17,38.05,45.13,39.82,38.05,65.49
sub-19,50.44,50.44,50.44,50.44,50.44,70.80,79.65,77.88,72.57,81.42,61.06,76.11,70.80,67.26,70.80,69.03,64.60,59.29,69.03,67.26,76.11
sub-20,34.51,34.51,34.51,34.51,34.51,38.05,43.36,52.21,49.56,52.21,34.51,27.43,42.48,44.25,46.90,38.05,37.17,46.90,51.33,51.33,61.06
sub-21,42.48,42.48,42.48,42.48,42.48,30.97,30.97,36.28,30.97,33.63,22.12,25.66,28.32,39.82,37.17,38.05,34.51,39.82,41.59,44.25,40.71
sub-22,60.18,60.18,60.18,60.18,60.18,57.52,59.29,60.18,63.72,68.14,34.51,43.36,57.52,61.95,58.41,51.33,53.98,51.33,53.10,59.29,67.26
sub-23,43.36,43.36,43.36,43.36,43.36,46.90,51.33,63.72,62.83,63.72,37.17,51.33,58.41,60.18,60.18,45.13,61.06,56.64,57.52,54.87,61.95
sub-24,39.82,39.82,39.82,39.82,39.82,45.13,46.90,54.87,50.44,50.44,39.82,51.33,43.36,51.33,53.10,49.56,45.13,55.75,49.56,53.10,64.60
sub-25,40.71,40.71,40.71,40.71,40.71,53.10,60.18,63.72,64.60,69.03,45.13,47.79,55.75,58.41,62.83,53.10,52.21,53.10,55.75,53.98,68.14
