subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,23.01,23.01,23.01,23.01,23.01,26.55,24.78,25.66,27.43,25.66,24.78,17.70,18.58,20.35,23.89,17.70,17.70,20.35,24.78,25.66,20.35
sub-02,61.06,61.06,61.06,61.06,61.06,51.33,60.18,56.64,66.37,70.80,46.02,64.60,65.49,73.45,76.99,60.18,61.06,69.03,67.26,71.68,72.57
sub-03,35.40,35.40,35.40,35.40,35.40,44.25,48.67,46.90,41.59,44.25,38.94,37.17,45.13,43.36,46.90,35.40,33.63,38.05,33.63,32.74,46.90
sub-04,38.94,38.94,38.94,38.94,38.94,40.71,42.48,53.10,60.18,59.29,32.74,38.94,44.25,47.79,53.10,44.25,45.13,47.79,47.79,47.79,54.87
sub-05,46.02,46.02,46.02,46.02,46.02,41.59,46.02,50.44,53.10,56.64,29.20,28.32,38.05,41.59,56.64,38.94,37.17,38.94,47.79,46.02,53.98
sub-06,46.90,46.90,46.90,46.90,46.90,55.75,57.52,64.60,69.91,72.57,46.02,51.33,63.72,70.80,69.03,61.06,61.95,66.37,57.52,68.14,69.91
sub-07,39.82,39.82,39.82,39.82,39.82,49.56,44.25,40.71,50.44,47.79,46.90,42.48,40.71,40.71,51.33,38.05,38.94,40.71,37.17,38.94,52.21
sub-08,58.41,58.41,58.41,58.41,58.41,61.95,63.72,64.60,78.76,79.65,60.18,65.49,69.03,74.34,70.80,61.95,53.98,69.03,59.29,61.95,75.22
sub-09,46.02,46.02,46.02,46.02,46.02,70.80,76.11,78.76,80.53,80.53,65.49,77.88,71.68,76.11,83.19,62.83,63.72,63.72,60.18,59.29,80.53
sub-10,64.60,64.60,64.60,64.60,64.60,78.76,69.91,79.65,83.19,80.53,50.44,61.95,75.22,74.34,81.42,63.72,62.83,64.60,59.29,61.06,74.34
sub-11,19.47,19.47,19.47,19.47,19.47,22.12,28.32,15.93,15.93,15.93,20.35,18.58,15.93,18.58,21.24,24.78,22.12,19.47,18.58,25.66,20.35
sub-12,47.79,47.79,47.79,47.79,47.79,53.98,62.83,59.29,60.18,65.49,48.67,51.33,55.75,54.87,56.64,49.56,58.41,58.41,61.95,57.52,61.95
sub-13,40.71,40.71,40.71,40.71,40.71,46.90,47.79,57.52,49.56,46.90,48.67,51.33,53.10,49.56,48.67,51.33,52.21,53.98,45.13,51.33,47.79
sub-14,44.25,44.25,44.25,44.25,44.25,40.71,52.21,53.10,54.87,62.83,30.09,40.71,46.90,54.87,60.18,44.25,53.98,45.13,35.40,47.79,55.75
sub-15,36.28,36.28,36.28,36.28,36.28,50.44,61.06,58.41,63.72,61.06,44.25,53.10,43.36,53.98,57.52,36.28,53.98,42.48,37.17,39.82,52.21
sub-16,47.79,47.79,47.79,47.79,47.79,43.36,53.98,62.83,64.60,66.37,24.78,34.51,44.25,50.44,58.41,37.17,50.44,53.10,57.52,53.98,58.41
sub-17,38.05,38.05,38.05,38.05,38.05,29.20,45.13,49.56,51.33,55.75,24.78,28.32,43.36,38.94,42.48,30.97,41.59,34.51,39.82,39.82,49.56
sub-18,42.48,42.48,42.48,42.48,42.48,41.59,40.71,54.87,54.87,63.72,34.51,53.10,61.06,56.64,69.91,43.36,47.79,48.67,49.56,50.44,66.37
sub-19,48.67,48.67,48.67,48.67,48.67,71.68,79.65,89.38,87.61,86.73,68.14,83.19,80.53,84.07,86.73,64.60,65.49,68.14,63.72,63.72,85.84
sub-20,50.44,50.44,50.44,50.44,50.44,50.44,48.67,55.75,66.37,61.95,36.28,52.21,54.87,57.52,65.49,46.90,53.10,62.83,53.98,59.29,67.26
sub-21,42.48,42.48,42.48,42.48,42.48,46.02,49.56,55.75,61.06,62.83,37.17,46.90,54.87,61.95,69.91,48.67,47.79,53.10,50.44,47.79,71.68
sub-22,44.25,44.25,44.25,44.25,44.25,53.10,53.10,64.60,69.91,66.37,46.02,56.64,65.49,68.14,68.14,49.56,53.10,49.56,50.44,42.48,65.49
sub-23,26.55,26.55,26.55,26.55,26.55,33.63,52.21,56.64,61.06,55.75,26.55,45.13,45.13,48.67,52.21,26.55,37.17,30.09,41.59,37.17,62.83
sub-24,51.33,51.33,51.33,51.33,51.33,53.10,61.06,65.49,65.49,72.57,60.18,69.91,71.68,77.88,76.99,63.72,68.14,59.29,58.41,60.18,70.80
sub-25,21.24,21.24,21.24,21.24,21.24,27.43,30.97,26.55,30.97,23.01,23.89,27.43,24.78,27.43,23.89,19.47,23.01,27.43,22.12,19.47,26.55
